sexo,brand,name,img,emoji,tags,price,budget,levels,pisadas,terrenos,priors,distancias,reason,link
"masculino,outro",Indefinida,RUNWAY,imgs/placeholder.png,👟,Pendente,"R$ 134,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B09YBB233W?tag=tenisideal26-20
"masculino,outro",Indefinida,ASICS,imgs/placeholder.png,👟,Pendente,"R$ 722,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B0F5BNYN2J?tag=tenisideal26-20
"masculino,outro",Indefinida,Olympikus,imgs/placeholder.png,👟,Pendente,"R$ 267,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B0FWKVBVN4?tag=tenisideal26-20
"masculino,outro",Indefinida,DM DAMANDO,imgs/placeholder.png,👟,Pendente,"R$ 78,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B0DF4TDFWX?tag=tenisideal26-20
"masculino,outro",Indefinida,YOSFDC,imgs/placeholder.png,👟,Pendente,"R$ 178,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B0F62PJ61N?tag=tenisideal26-20
"masculino,outro",Indefinida,Mizuno,imgs/placeholder.png,👟,Pendente,"R$ 309,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B0FNS4VJGT?tag=tenisideal26-20
"masculino,outro",Indefinida,ASICS,imgs/placeholder.png,👟,Pendente,"R$ 515,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B072BWZF8B?tag=tenisideal26-20
"masculino,outro",Indefinida,Olympikus,imgs/placeholder.png,👟,Pendente,"R$ 549,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B0FQ13YWVG?tag=tenisideal26-20
"masculino,outro",Indefinida,Olympikus,imgs/placeholder.png,👟,Pendente,"R$ 549,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B0FR5M336Y?tag=tenisideal26-20
"masculino,outro",Indefinida,Avia,imgs/placeholder.png,👟,Pendente,"R$ 373,",300a600,iniciante,"neutra,naosabe",asfalto,custo,curta,Falta descrição automática.,https://www.amazon.com.br/dp/B09PNYGXCB?tag=tenisideal26-20
